dataset,model,num_nodi,size_annealer,size_label,accuracy,precision,recall,f1,auc,training_time_s,error
iris,FullIsing,1,4,x1F,0.55,0.5384615384615384,0.7,0.6086956521739131,0.5800000000000001,9.295023799990304,
iris,Net1L,1,4,x1F,0.65,0.7142857142857143,0.5,0.5882352941176471,0.5800000000000001,9.342184499953873,
iris,Net1L,2,4,x1F,0.6,0.625,0.5,0.5555555555555556,0.5800000000000001,17.866626199975144,
iris,Net1L,3,4,x1F,0.6,0.6666666666666666,0.4,0.5,0.5800000000000001,26.46182739996584,
iris,Net1L,5,4,x1F,0.55,0.5384615384615384,0.7,0.6086956521739131,0.5800000000000001,43.5219739000313,
iris,Net1L,8,4,x1F,0.6,0.625,0.5,0.5555555555555556,0.5800000000000001,69.12208679999458,
iris,FullIsing,1,8,x2F,0.6,0.6,0.6,0.6,0.5800000000000001,10.474761200021021,
iris,Net1L,1,8,x2F,0.55,0.5555555555555556,0.5,0.5263157894736842,0.5800000000000001,10.426715299952775,
iris,Net1L,2,8,x2F,0.6,0.6,0.6,0.6,0.5800000000000001,20.082807299972046,
iris,Net1L,3,8,x2F,0.6,0.6666666666666666,0.4,0.5,0.59,29.74215639999602,
iris,Net1L,5,8,x2F,0.55,0.5384615384615384,0.7,0.6086956521739131,0.56,49.16752959997393,
iris,Net1L,8,8,x2F,0.55,0.5714285714285714,0.4,0.47058823529411764,0.5599999999999999,78.06223320000572,
iris,FullIsing,1,12,x3F,0.5,0.0,0.0,0.0,0.43,11.554796500015073,
iris,Net1L,1,12,x3F,0.45,0.4666666666666667,0.7,0.56,0.42,11.571415800019167,
iris,Net1L,2,12,x3F,0.4,0.4375,0.7,0.5384615384615384,0.5700000000000001,22.46646150003653,
iris,Net1L,3,12,x3F,0.55,0.5263157894736842,1.0,0.6896551724137931,0.7,33.221785600006115,
iris,Net1L,5,12,x3F,0.5,0.0,0.0,0.0,0.75,54.79349759995239,
iris,Net1L,8,12,x3F,0.4,0.4444444444444444,0.8,0.5714285714285714,0.57,87.35221159999492,
iris,FullIsing,1,16,x4F,0.5,0.5,1.0,0.6666666666666666,0.56,12.937050800013822,
iris,Net1L,1,16,x4F,0.55,0.6,0.3,0.4,0.5700000000000001,12.954731600009836,
iris,Net1L,2,16,x4F,0.65,0.6363636363636364,0.7,0.6666666666666666,0.63,25.104987800004892,
iris,Net1L,3,16,x4F,0.55,0.5294117647058824,0.9,0.6666666666666666,0.77,37.431449500028975,
iris,Net1L,5,16,x4F,0.4,0.4166666666666667,0.5,0.45454545454545453,0.44,61.44326200004434,
iris,Net1L,8,16,x4F,0.55,1.0,0.1,0.18181818181818182,0.47000000000000003,98.0586467999965,
iris,FullIsing,1,10,10,0.5,0.5,0.7,0.5833333333333334,0.57,11.02749439998297,
iris,Net1L,1,10,10,0.55,0.6,0.3,0.4,0.5800000000000001,10.97480030002771,
iris,Net1L,2,10,10,0.55,0.6,0.3,0.4,0.5800000000000001,21.30543199996464,
iris,Net1L,3,10,10,0.4,0.4375,0.7,0.5384615384615384,0.57,31.49262410000665,
iris,Net1L,5,10,10,0.55,0.6,0.3,0.4,0.5700000000000001,51.97607230005087,
iris,Net1L,8,10,10,0.45,0.45454545454545453,0.5,0.47619047619047616,0.5199999999999999,82.70299669995438,
iris,FullIsing,1,20,20,0.5,0.5,1.0,0.6666666666666666,0.5199999999999999,14.463330600003246,
iris,Net1L,1,20,20,0.45,0.45454545454545453,0.5,0.47619047619047616,0.45999999999999996,14.403630000015255,
iris,Net1L,2,20,20,0.6,0.625,0.5,0.5555555555555556,0.5700000000000001,28.063964900036808,
iris,Net1L,3,20,20,0.45,0.42857142857142855,0.3,0.35294117647058826,0.43,41.771008000010625,
iris,Net1L,5,20,20,0.65,0.6666666666666666,0.6,0.631578947368421,0.66,69.09346529998584,
iris,Net1L,8,20,20,0.55,1.0,0.1,0.18181818181818182,0.57,110.14384179998888,
iris,FullIsing,1,30,30,0.5,0.5,1.0,0.6666666666666666,0.49,19.91044750000583,
iris,Net1L,1,30,30,0.45,0.4666666666666667,0.7,0.56,0.47,19.021295900049154,
iris,Net1L,2,30,30,0.45,0.45454545454545453,0.5,0.47619047619047616,0.47,37.47424090001732,
iris,Net1L,3,30,30,0.65,1.0,0.3,0.46153846153846156,0.75,55.99762650002958,
iris,Net1L,5,30,30,0.65,1.0,0.3,0.46153846153846156,0.45999999999999996,92.43820069998037,
iris,Net1L,8,30,30,0.7,1.0,0.4,0.5714285714285714,0.6799999999999999,149.76770030002808,
iris,FullIsing,1,50,50,0.65,1.0,0.3,0.46153846153846156,0.65,34.79233760002535,
iris,Net1L,1,50,50,0.45,0.45454545454545453,0.5,0.47619047619047616,0.5599999999999999,31.704255899996497,
iris,Net1L,2,50,50,1.0,1.0,1.0,1.0,1.0,63.614013399987016,
iris,Net1L,3,50,50,0.55,0.5714285714285714,0.4,0.47058823529411764,0.5499999999999999,94.24199680000311,
iris,Net1L,5,50,50,0.45,0.45454545454545453,0.5,0.47619047619047616,0.5599999999999999,156.03752020001411,
iris,Net1L,8,50,50,1.0,1.0,1.0,1.0,1.0,249.98892850003904,
