dataset,model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,auc_mean,auc_std
00_iris_versicolor_virginica,FullIsingModule,0.7100,0.0917,0.7018,0.0688,0.7200,0.1939,0.7002,0.1271,0.7580,0.1379
00_iris_versicolor_virginica,ModularNetwork,0.9100,0.0583,0.9205,0.0994,0.9200,0.1166,0.9099,0.0610,0.9580,0.0440
01_vertebral_column,FullIsingModule,0.7250,0.0474,0.7025,0.0539,0.7900,0.0800,0.7409,0.0485,0.7985,0.0485
01_vertebral_column,ModularNetwork,0.8000,0.0316,0.7981,0.0523,0.8100,0.0374,0.8023,0.0270,0.8805,0.0310
02_banknote,FullIsingModule,0.8115,0.0369,0.8288,0.0678,0.7984,0.0710,0.8088,0.0351,0.8313,0.0342
02_banknote,ModularNetwork,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000
03_breast_cancer,FullIsingModule,0.5803,0.0555,0.5794,0.0558,0.6668,0.1660,0.6064,0.0669,0.5688,0.0782
03_breast_cancer,ModularNetwork,0.8348,0.0156,0.8324,0.0409,0.8443,0.0489,0.8361,0.0156,0.8978,0.0196
04_contraceptive_method,FullIsingModule,0.6456,0.0530,0.6416,0.0530,0.6573,0.0683,0.6488,0.0585,0.7189,0.0517
04_contraceptive_method,ModularNetwork,0.6697,0.0392,0.6886,0.0562,0.6366,0.0636,0.6578,0.0353,0.7430,0.0201
05_haberman_Survival,FullIsingModule,0.4313,0.0703,0.4520,0.0652,0.5463,0.2390,0.4707,0.0952,0.4623,0.1037
05_haberman_Survival,ModularNetwork,0.5867,0.0824,0.5696,0.0761,0.6279,0.1653,0.5936,0.1176,0.5882,0.0747
06_heart_failure,FullIsingModule,0.4483,0.0388,0.4461,0.0366,0.4474,0.1245,0.4381,0.0825,0.4450,0.0467
06_heart_failure,ModularNetwork,0.6304,0.0903,0.6390,0.1024,0.6153,0.0878,0.6254,0.0886,0.6822,0.0645
07_Ionosphere,FullIsingModule,0.6151,0.0336,0.6505,0.0349,0.5095,0.1237,0.5612,0.0812,0.6539,0.0291
07_Ionosphere,ModularNetwork,0.9086,0.0530,0.9459,0.0358,0.8646,0.0828,0.9023,0.0601,0.9671,0.0193
08_SPECTF_Heart,FullIsingModule,0.3875,0.0468,0.4123,0.0414,0.5500,0.1500,0.4649,0.0752,0.2062,0.0117
08_SPECTF_Heart,ModularNetwork,0.6500,0.0500,0.6312,0.0569,0.7500,0.1118,0.6795,0.0508,0.7531,0.1141
