xor_dim,num_nodi,node_size,node_size_label,accuracy,f1,auc_roc,best_val_acc,final_loss,min_loss,loss_stability,convergence_epoch,training_time_s,n_params,error
6,2,6,x1F,0.5,0.6666666666666666,0.519969482421875,0.5,0.7567659616470337,0.7567659616470337,0.00047194957733154297,,18.99893196497578,79,
6,2,12,x2F,0.5,0.0,0.47693115234374994,0.5,0.8637685775756836,0.8637685775756836,0.0024575889110565186,,21.05465136701241,295,
6,2,18,x3F,0.5,0.0,0.476201171875,0.5,0.8233621716499329,0.8233621716499329,0.0022881627082824707,,23.76279912109021,655,
6,2,24,x4F,0.5,0.6666666666666666,0.46656982421875,0.5,0.6988444924354553,0.6988444924354553,0.0005675256252288818,,27.242434817017056,1159,
6,2,10,10,0.5,0.0,0.4923095703125,0.5,0.6971833109855652,0.6971833109855652,0.0003024637699127197,,20.242738818051293,207,
6,2,20,20,0.5,0.0,0.47421630859374997,0.5,1.0306776762008667,1.0306776762008667,0.004578709602355957,,24.88569596002344,807,
6,2,30,30,0.5,0.0,0.47274902343749997,0.5,1.5244430303573608,1.5244430303573608,0.007295727729797363,,31.383724034996703,1807,
6,2,40,40,0.5,0.6666666666666666,0.5257507324218751,0.5,1.367240309715271,1.367240309715271,0.009450435638427734,,40.6643178119557,3207,
6,2,50,50,0.5,0.0,0.47189208984375,0.5,3.1239876747131348,3.1239876747131348,0.019865989685058594,,52.52200470806565,5007,
6,3,6,x1F,0.5,0.6663190823774765,0.519293212890625,0.49921875,0.7151141166687012,0.7151141166687012,0.0004070401191711426,,29.221351786050946,118,
6,3,12,x2F,0.52109375,0.6227692307692307,0.5214599609375,0.5203125,0.6970422267913818,0.6970422267913818,0.0002537965774536133,,32.56563476705924,442,
6,3,18,x3F,0.5,0.0,0.46592041015624996,0.5,0.6989191174507141,0.6989191174507141,0.0009701848030090332,,38.51699264894705,982,
6,3,24,x4F,0.5,0.0,0.47389892578125,0.5,0.7964633703231812,0.7964633703231812,0.002339959144592285,,48.85527403501328,1738,
6,3,10,10,0.5,0.0,0.486199951171875,0.5,0.7508721351623535,0.7508721351623535,0.0009420514106750488,,33.0000077780569,310,
6,3,20,20,0.5,0.6666666666666666,0.5241064453125,0.5,0.9115797281265259,0.9115797281265259,0.0037920773029327393,,39.14703552098945,1210,
6,3,30,30,0.5,0.0,0.472890625,0.5,1.5612421035766602,1.5612421035766602,0.010904252529144287,,46.82367321907077,2710,
6,3,40,40,0.5,0.0,0.4737158203125,0.5,0.8902838826179504,0.8902838826179504,0.004745960235595703,,60.849905506009236,4810,
6,3,50,50,0.5,0.6666666666666666,0.52777587890625,0.5,2.387211322784424,2.387211322784424,0.018050193786621094,,79.55792142800055,7510,
6,5,6,x1F,0.48203125,0.4,0.478892822265625,0.48359375,0.6939885020256042,0.6939885020256042,8.39531421661377e-05,,50.85772064898629,196,
6,5,12,x2F,0.5,0.0,0.47474975585937496,0.5,0.7005763053894043,0.7005763053894043,0.0006279647350311279,,59.199347571935505,736,
6,5,18,x3F,0.5,0.0,0.47441650390625,0.5,0.8249757885932922,0.8249757885932922,0.0037541985511779785,,65.0580441430211,1636,
6,5,24,x4F,0.5,0.0,0.47405273437500006,0.5,0.9008854031562805,0.9008854031562805,0.004232227802276611,,73.11707655794453,2896,
6,5,10,10,0.5,0.0,0.4915124511718749,0.5,0.7102686762809753,0.7102686762809753,0.0007146000862121582,,51.01182711601723,516,
6,5,20,20,0.5,0.0,0.47483642578125,0.5,0.7450993657112122,0.7450993657112122,0.002791076898574829,,62.70181905699428,2016,
6,5,30,30,0.5,0.0,0.47400146484375005,0.5,0.7233597636222839,0.7233597636222839,0.004077434539794922,,84.9028496730607,4516,
6,5,40,40,0.5,0.0,0.47390136718750003,0.5,1.8796793222427368,1.8796793222427368,0.01619112491607666,,128.7841473899316,8016,
6,5,50,50,0.5,0.6666666666666666,0.525093994140625,0.5,1.0649014711380005,1.0649014711380005,0.0262986421585083,,132.44334592693485,12516,
6,8,6,x1F,0.5,0.6666666666666666,0.520491943359375,0.5,0.7244537472724915,0.7244537472724915,0.0008366107940673828,,119.74885280698072,313,
6,8,12,x2F,0.5,0.6666666666666666,0.52187255859375,0.5,0.8824278116226196,0.8824278116226196,0.004377454519271851,,87.80296251701657,1177,
6,8,18,x3F,0.5,0.6666666666666666,0.5245263671875,0.5,1.0739378929138184,1.0739378929138184,0.0064963698387146,,96.9579256309662,2617,
6,8,24,x4F,0.5,0.6666666666666666,0.5250183105468751,0.5,0.736355185508728,0.736355185508728,0.003325730562210083,,115.3725925120525,4633,
6,8,10,10,0.49921875,0.6659718603439291,0.513829345703125,0.5,0.6950607299804688,0.6950607299804688,0.0004399418830871582,,89.29839376499876,825,
6,8,20,20,0.5046875,0.658772874058127,0.5200439453125,0.4984375,0.696857213973999,0.696857213973999,0.001164555549621582,,109.42838223802391,3225,
6,8,30,30,0.5,0.0,0.47319580078125006,0.5,1.6400712728500366,1.6400712728500366,0.01916360855102539,,137.29081496200524,7225,
6,8,40,40,0.5,0.6666666666666666,0.5257958984375,0.5,2.521627187728882,2.521627187728882,0.028504490852355957,,162.42214929498732,12825,
6,8,50,50,0.5,0.6666666666666666,0.52761474609375,0.5,0.7597467303276062,0.7597467303276062,0.00757366418838501,,207.10455852304585,20025,
6,10,6,x1F,0.5,0.0,0.48025146484375003,0.5,0.7108659744262695,0.7108659744262695,0.0007711946964263916,,94.9587264120346,391,
6,10,12,x2F,0.5,0.6666666666666666,0.51434814453125,0.5,0.6953374147415161,0.6953374147415161,0.0006997883319854736,,103.62646902399138,1471,
6,10,18,x3F,0.5,0.0,0.47490478515625,0.5,1.1618503332138062,1.1618503332138062,0.007808327674865723,,118.18621889606584,3271,
6,10,24,x4F,0.5,0.0,0.47341430664062495,0.5,0.9954822659492493,0.9954822659492493,0.011971801519393921,,136.3073547850363,5791,
6,10,10,10,0.5,0.6666666666666666,0.48838134765625,0.5,0.7017095685005188,0.7017095685005188,0.000910341739654541,,101.15391392598394,1031,
6,10,20,20,0.5,0.0,0.47562255859374997,0.5,1.002383828163147,1.002383828163147,0.008413314819335938,,123.50609812501352,4031,
6,10,30,30,0.509375,0.6590662323561346,0.5184985351562499,0.5078125,0.6983437538146973,0.6983437538146973,0.0028142333030700684,,156.89587160001975,9031,
6,10,40,40,0.5,0.0,0.47404785156249996,0.5,0.9132963418960571,0.9132963418960571,0.024360835552215576,,203.34200908406638,16031,
6,10,50,50,0.5,0.6666666666666666,0.52659423828125,0.5,0.8977469801902771,0.8977469801902771,0.02544999122619629,,259.0452088289894,25031,
6,15,6,x1F,0.5015625,0.006230529595015576,0.51927978515625,0.5015625,0.6936537027359009,0.6936537027359009,0.00020310282707214355,,142.78357331804,586,
6,15,12,x2F,0.5,0.0,0.47550781250000007,0.5,0.7317248582839966,0.7317248582839966,0.003124445676803589,,156.79336712206714,2206,
6,15,18,x3F,0.5,0.6666666666666666,0.5243310546875,0.5,0.9491502642631531,0.9491502642631531,0.01140451431274414,,193.24507430801168,4906,
6,15,24,x4F,0.5,0.0,0.47337890625,0.5,1.2515592575073242,1.2515592575073242,0.015938222408294678,,205.54359237500466,8686,
6,15,10,10,0.48984375,0.2847754654983571,0.48499023437500005,0.4890625,0.6952967643737793,0.6952967643737793,0.0007165372371673584,,153.62439051596448,1546,
6,15,20,20,0.47421875,0.42429426860564584,0.471844482421875,0.503125,0.693479061126709,0.693479061126709,0.0005520880222320557,,187.3255534269847,6046,
6,15,30,30,0.5,0.6666666666666666,0.52150146484375,0.5,0.7325828671455383,0.7325828671455383,0.007356554269790649,,235.59383057197556,13546,
6,15,40,40,0.5,0.0,0.4705419921875,0.5,0.7164074182510376,0.7164074182510376,0.007143735885620117,,303.95385845098644,24046,
6,15,50,50,0.503125,0.18041237113402062,0.50842529296875,0.49921875,0.695484459400177,0.6946328282356262,0.0004258155822753906,,385.93269229808357,37546,
